stage,cell,seed,depth,label,mode,status,cosine,early_layer_cosine,residual,max_state,state_distance,dual_distance,layer_count_min,layer_count_max,early_gradient_norm_ratio_min,early_gradient_norm_ratio_mean,bp_early_gradient_norm_min,R_final_0.1,R_any_final_0.1,max_gap_0.1,t0.25_threshold0.1,t0.5_threshold0.1,t0.75_threshold0.1,t0.9_threshold0.1,R_final_0.25,R_any_final_0.25,max_gap_0.25,t0.25_threshold0.25,t0.5_threshold0.25,t0.75_threshold0.25,t0.9_threshold0.25,R_final_0.5,R_any_final_0.5,max_gap_0.5,t0.25_threshold0.5,t0.5_threshold0.5,t0.75_threshold0.5,t0.9_threshold0.5,R_final_0.75,R_any_final_0.75,max_gap_0.75,t0.25_threshold0.75,t0.5_threshold0.75,t0.75_threshold0.75,t0.9_threshold0.75,paired_cosine_delta,paired_early_cosine_delta
replication,depth32_seed2,2,32,fully_async_local_tau31_h0_seed2119,fully_async_local,ok,0.9677445292472839,0.9305311664938927,0.18997447192668915,4.906652927398682,0.6604794859886169,0.6433039608786553,45,78,0.6363946301640706,0.7159679398452008,0.00750989792868495,31,31,0,14.0,26.0,36.0,46.0,31,31,4,14.0,26.0,38.0,52.0,17,17,11,26.0,48.0,,,4,4,0,,,,,0.012036502361297607,0.03320623189210892
replication,depth32_seed2,2,32,fully_async_local_tau8_h0_seed2119,fully_async_local,ok,0.9696894884109497,0.9264502823352814,0.17308516800403595,4.904881000518799,0.4428325295448303,0.7291695326155584,45,78,0.7484100608804014,0.8125483866256789,0.00750989792868495,31,31,2,14.0,26.0,36.0,46.0,31,31,2,14.0,26.0,40.0,50.0,20,31,13,22.0,52.0,,,4,4,2,,,,,0.013981461524963379,0.02912534773349762
replication,depth32_seed2,2,32,heterogeneous_rates_h1.5_seed2119,heterogeneous_rates,ok,0.6940494775772095,0.009505584836006165,0.1167772114276886,4.904881000518799,2.258967161178589,5.564198453735146,0,1135,0.0,2.2728896279973033e-05,0.00750989792868495,5,5,0,,,,,5,5,0,,,,,5,5,2,,,,,5,5,0,,,,,-0.26165854930877686,-0.8878193497657776
replication,depth32_seed2,2,32,random_coordinate_seed2119,random_coordinate,ok,0.9519571661949158,0.8939153552055359,0.18093392252922058,4.904881000518799,0.16588450968265533,0.3284443245402684,45,78,0.6140899749754245,0.689117573324348,0.00750989792868495,31,31,0,14.0,28.0,44.0,52.0,31,31,2,18.0,32.0,50.0,60.0,21,21,6,26.0,54.0,,,3,3,2,,,,,-0.0037508606910705566,-0.0034095793962478638
replication,depth32_seed2,2,32,random_permutation_seed2119,random_permutation,ok,0.957609236240387,0.9005611389875412,0.14820478856563568,4.904881000518799,0.3701339662075043,1.016567816864749,64,64,0.8679913896667393,0.9791783178610758,0.00750989792868495,31,31,0,12.0,26.0,40.0,48.0,31,31,0,16.0,32.0,46.0,54.0,31,31,0,22.0,48.0,62.0,62.0,3,3,0,,,,,0.0019012093544006348,0.0032362043857574463
replication,depth32_seed2,2,32,sync,sync,ok,0.9557080268859863,0.8973249346017838,0.14998719096183777,4.904881000518799,0.0,0.0,,,0.663062704242894,0.698432776480256,0.00750989792868495,31,31,0,14.0,30.0,46.0,54.0,31,31,0,16.0,34.0,52.0,60.0,19,19,0,24.0,52.0,,,3,3,0,,,,,0.0,0.0
replication,depth32_seed3,3,32,bounded_staleness_tau31_seed3128,bounded_staleness,ok,0.8122126460075378,0.90704545378685,0.13599592447280884,4.112557411193848,0.6235008239746094,1.5112526361999659,50,81,0.04351042517215322,0.2177250002536666,0.0051725925877690315,28,28,0,22.0,40.0,56.0,64.0,23,23,0,24.0,46.0,,,18,18,0,34.0,56.0,,,4,4,2,,,,,-0.13825607299804688,0.002583540976047516
replication,depth32_seed3,3,32,bounded_staleness_tau62_seed3128,bounded_staleness,ok,0.7906654477119446,0.9046655967831612,0.13081008195877075,4.1125617027282715,0.8248827457427979,1.7964563498179407,50,81,0.009546424277147775,0.1278348881809742,0.0051725925877690315,25,25,0,22.0,40.0,62.0,,22,22,2,28.0,46.0,,,16,16,3,38.0,64.0,,,4,4,3,,,,,-0.15980327129364014,0.0002036839723587036
replication,depth32_seed3,3,32,fully_async_local_tau0_h0_seed3128,fully_async_local,ok,0.9699695110321045,0.9431328326463699,0.17982672154903412,4.112557411193848,0.6373874545097351,0.7948168971860722,50,81,0.8312412679964635,0.8824507928204064,0.0051725925877690315,31,31,3,20.0,34.0,46.0,52.0,31,31,2,20.0,38.0,48.0,52.0,16,31,15,24.0,48.0,,,2,2,0,,,,,0.019500792026519775,0.038670919835567474
replication,depth32_seed3,3,32,fully_async_local_tau31_h0_seed3128,fully_async_local,ok,0.9750534296035767,0.9505540281534195,0.2280585914850235,4.112557411193848,0.82927405834198,0.7855357239380838,50,81,0.7518070979562484,0.8354604492989599,0.0051725925877690315,31,31,3,20.0,34.0,46.0,52.0,31,31,0,20.0,38.0,50.0,54.0,21,31,22,26.0,50.0,,,3,3,0,,,,,0.024584710597991943,0.046092115342617035
replication,depth32_seed3,3,32,fully_async_local_tau8_h0_seed3128,fully_async_local,ok,0.9722189903259277,0.9456643313169479,0.17813587188720703,4.112557411193848,0.6665123701095581,0.7318383916642419,50,81,0.7979487701229486,0.8537943489491461,0.0051725925877690315,31,31,2,20.0,34.0,46.0,52.0,31,31,0,20.0,38.0,48.0,52.0,17,31,14,24.0,46.0,,,3,3,0,,,,,0.021750271320343018,0.04120241850614548
