source,mode,threshold,reference_steps,R_final,t0.25,t0.5,t0.75,t0.9
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.1,128,25,18.0,40.0,62.0,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.1,256,26,14.0,40.0,62.0,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.25,128,22,20.0,42.0,,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.25,256,22,18.0,42.0,,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.5,128,17,34.0,60.0,,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.5,256,18,20.0,46.0,,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.75,128,3,,,,
results/prebeam/supplied_scout,fully_async_local_tau4_h1_seed101,0.75,256,16,30.0,58.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.1,128,31,12.0,36.0,50.0,56.0
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.1,256,31,10.0,30.0,48.0,56.0
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.25,128,30,16.0,38.0,54.0,64.0
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.25,256,30,14.0,36.0,54.0,62.0
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.5,128,13,22.0,44.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.5,256,25,18.0,38.0,60.0,
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.75,128,1,,,,
results/prebeam/supplied_scout,heterogeneous_rates_h0.5_seed101,0.75,256,17,20.0,44.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.1,128,18,20.0,44.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.1,256,18,18.0,42.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.25,128,18,24.0,46.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.25,256,18,22.0,44.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.5,128,6,26.0,,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.5,256,13,24.0,50.0,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.75,128,6,32.0,,,
results/prebeam/supplied_scout,heterogeneous_rates_h1.5_seed101,0.75,256,7,26.0,,,
results/prebeam/supplied_scout,random_block_b4_seed101,0.1,128,31,12.0,28.0,46.0,54.0
results/prebeam/supplied_scout,random_block_b4_seed101,0.1,256,31,12.0,26.0,46.0,54.0
results/prebeam/supplied_scout,random_block_b4_seed101,0.25,128,31,16.0,34.0,50.0,60.0
results/prebeam/supplied_scout,random_block_b4_seed101,0.25,256,31,16.0,30.0,48.0,58.0
results/prebeam/supplied_scout,random_block_b4_seed101,0.5,128,21,18.0,58.0,,
results/prebeam/supplied_scout,random_block_b4_seed101,0.5,256,26,16.0,38.0,56.0,
results/prebeam/supplied_scout,random_block_b4_seed101,0.75,128,2,,,,
results/prebeam/supplied_scout,random_block_b4_seed101,0.75,256,17,18.0,56.0,,
results/prebeam/supplied_scout,random_block_b8_seed101,0.1,128,31,16.0,32.0,46.0,56.0
results/prebeam/supplied_scout,random_block_b8_seed101,0.1,256,31,16.0,32.0,46.0,54.0
results/prebeam/supplied_scout,random_block_b8_seed101,0.25,128,30,18.0,36.0,54.0,62.0
results/prebeam/supplied_scout,random_block_b8_seed101,0.25,256,31,16.0,32.0,52.0,62.0
results/prebeam/supplied_scout,random_block_b8_seed101,0.5,128,14,24.0,,,
